City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,ust-kuyga,70.0167,135.6,-14.81,86,100,14.38,RU,1680425393
340,promyshlennyy,67.5833,63.9167,-6.6,93,99,10.42,RU,1680425393
341,shelburne,44.0787,-80.2041,-4.58,69,46,10.26,CA,1680425394
342,kysyl-syr,63.8986,122.7617,-7.8,84,100,12.6,RU,1680425394
343,dunedin,-45.8742,170.5036,10.65,80,97,4.29,NZ,1680425364
344,sao joao da barra,-21.6403,-41.0511,21.79,94,100,8.97,BR,1680425194
345,mirandela,41.4874,-7.187,11.83,63,23,1.04,PT,1680425397
346,road town,18.4167,-64.6167,25.05,72,2,9.93,VG,1680425397
347,ulaangom,49.9811,92.0667,-8.33,35,90,4.11,MN,1680425383
348,aljezur,37.3191,-8.8033,15.3,56,43,7.19,PT,1680425398
349,kroya,-7.6331,109.2461,28.32,74,79,4.65,ID,1680425399
350,te anau,-45.4167,167.7167,6.91,81,2,1.33,NZ,1680425400
351,wonthaggi,-38.6044,145.5913,13.23,76,38,2.34,AU,1680425400
352,oranjemund,-28.55,16.4333,19.37,76,44,2.97,NA,1680425208
353,udachnyy,66.4167,112.4,-5.86,52,100,17.75,RU,1680425113
354,monrovia,6.3005,-10.7969,25.87,75,4,0.74,LR,1680425405
355,faya,18.3851,42.4509,21.06,55,94,6.57,SA,1680425405
356,lasa,46.6166,10.7002,12.49,77,77,2.23,IT,1680425406
357,sao borja,-28.6606,-56.0044,11.08,67,2,7.91,BR,1680425406
358,soe,-9.8607,124.284,22.92,83,100,2.5,ID,1680425382
359,tepechitlan,21.6667,-103.3333,16.36,35,62,1.38,MX,1680425407
360,alta floresta,-9.8756,-56.0861,20.66,99,100,0.25,BR,1680425408
361,kutum,14.2,24.6667,26.32,9,32,4.53,SD,1680425409
362,pathalgaon,22.5667,83.4667,33.09,16,14,8.8,IN,1680425241
363,prainha,-1.8,-53.48,22.5,97,100,6.8,BR,1680425410
